month,raise_date,issue_id,category,description,factory_response,status,resolution_date
2025-06,2025-06-11,ISS-2025-051,工資薪酬,端午節假期工資未按法定標準支付,已核查並重新計算，補發差額部分,已解決,2025-06-20
2025-06,2025-06-11,ISS-2025-052,安全衛生,高溫天氣下缺乏強制休息制度，中暑事件增加,廠方出台高溫作業管理規定，強制每2小時休息10分鐘,已解決,2025-06-18
2025-06,2025-06-11,ISS-2025-053,工時休假,工人反映年假被強制安排在淡季，無法自主選擇,廠方調整為工人自主申請為主，廠方審批制度,已解決,2025-06-25
2025-06,2025-06-11,ISS-2025-054,工作環境,車間空氣潮濕，設備生鏽，工人皮膚問題增多,已安裝工業除濕機，車間濕度降至合理範圍,已解決,2025-06-28
2025-06,2025-06-11,ISS-2025-055,福利待遇,員工體檢未包含職業病相關項目,廠方更新體檢套餐，增加職業病健康篩查,已解決,2025-06-30
2025-06,2025-06-11,ISS-2025-056,管理溝通,績效評估標準工人不知情，覺得評估不公平,廠方公開績效評估標準並舉辦說明會,已解決,2025-06-22
2025-06,2025-06-11,ISS-2025-057,安全衛生,滅火器超過年檢日期，存在安全隱患,全廠消防設備完成年檢及更換，並建立定期維護台賬,已解決,2025-06-15
2025-06,2025-06-11,ISS-2025-058,工資薪酬,轉崗後工資調整滯後超過2個月,廠方規定轉崗後1個月內必須完成工資調整,已解決,2025-06-26
2025-06,2025-06-11,ISS-2025-059,勞動合同,合同自動續簽未提前通知工人,廠方設立合同到期提前45天通知機制,未解決,
2025-06,2025-06-11,ISS-2025-060,工時休假,哺乳期女工未能享受法定哺乳假,廠方確認政策並通知相關工人申請哺乳假,已解決,2025-06-24
2025-07,2025-07-09,ISS-2025-061,安全衛生,高溫中暑2人，急救流程不清晰,已制定中暑急救標準流程並全員培訓,已解決,2025-07-15
2025-07,2025-07-09,ISS-2025-062,工資薪酬,高溫補貼標準多年未更新，低於當地政府指引,廠方同意按最新政府標準發放高溫補貼，溯及7月,已解決,2025-07-20
2025-07,2025-07-09,ISS-2025-063,工時休假,連續高溫期間仍要求加班，工人體力透支,廠方宣布高溫預警期間不安排非必要加班,已解決,2025-07-18
2025-07,2025-07-09,ISS-2025-064,工作環境,部分車間降溫設備故障，影響工人健康,設備部門已緊急維修，並增設備用降溫設備,已解決,2025-07-12
2025-07,2025-07-09,ISS-2025-065,福利待遇,工傷後返工安排不合理，帶傷上崗,廠方更新工傷返工評估流程，需醫療許可才可返崗,已解決,2025-07-25
2025-07,2025-07-09,ISS-2025-066,管理溝通,投訴某班組長工作分配不公，工人積怨,HR已展開調查並與當事人面談，調整工作分配,已解決,2025-07-22
2025-07,2025-07-09,ISS-2025-067,安全衛生,部分電氣設備絕緣老化，存在觸電風險,已完成全廠電氣安全檢查，更換老化線路,已解決,2025-07-28
2025-07,2025-07-09,ISS-2025-068,工資薪酬,績效工資計算系統出錯，多人少發,IT修復系統漏洞，財務已補發受影響工人工資,已解決,2025-07-24
2025-07,2025-07-09,ISS-2025-069,勞動合同,非全日制工人缺乏書面合同,廠方安排與所有非全日制工人簽訂書面協議,未解決,
2025-07,2025-07-09,ISS-2025-070,其他,午休時間縮短至30分鐘，工人休息不足,廠方恢復45分鐘午休，並調整生產排班計劃,已解決,2025-07-26
2025-08,2025-08-13,ISS-2025-071,工資薪酬,社保繳費基數與實際工資不符，影響未來待遇,廠方重新核算並更正社保繳費基數,已解決,2025-08-22
2025-08,2025-08-13,ISS-2025-072,安全衛生,噪音防護設備品質差，降噪效果不達標,已更換符合國家標準的耳塞及耳罩，全員配發,已解決,2025-08-20
2025-08,2025-08-13,ISS-2025-073,工時休假,調休假期申請審批時間過長，影響工人出行計劃,HR系統優化審批流程，承諾3個工作日內完成審批,已解決,2025-08-25
2025-08,2025-08-13,ISS-2025-074,工作環境,廠區廁所清潔頻次不足，衛生狀況差,廠方增加清潔頻次至每日4次，並張貼清潔記錄表,已解決,2025-08-18
2025-08,2025-08-13,ISS-2025-075,福利待遇,中秋節福利品質下降，工人不滿,廠方改善節日福利方案，下一節日前提交工人代表審議,未解決,
2025-08,2025-08-13,ISS-2025-076,管理溝通,新規定執行標準不統一，不同班組處罰力度差異大,廠方統一制定處罰標準並全員培訓班組長,已解決,2025-08-28
2025-08,2025-08-13,ISS-2025-077,安全衛生,部分工人未完成上崗前安全培訓即投入生產,廠方暫停相關工人上崗，完成培訓後方可復工,已解決,2025-08-16
2025-08,2025-08-13,ISS-2025-078,工資薪酬,試用期工資計算存在爭議，工人認為少算,HR向工人說明計算方式，雙方達成一致,已解決,2025-08-26
2025-08,2025-08-13,ISS-2025-079,勞動合同,合同中工作地點條款模糊，工人擔心被派駐外地,廠方修訂合同，明確約定工作地點變更需雙方協商,已解決,2025-08-30
2025-08,2025-08-13,ISS-2025-080,其他,廠內宿舍熱水設施故障超過一週,工程部已緊急維修，恢復正常供熱水,已解決,2025-08-17
2025-09,2025-09-10,ISS-2025-081,工資薪酬,生育津貼申請被拖延，影響工人生活,HR設立生育津貼快速通道，承諾15個工作日內完成,已解決,2025-09-25
2025-09,2025-09-10,ISS-2025-082,安全衛生,廠區道路破損，工人騎車受傷風險高,工程部已完成道路修繕，並設立限速提示牌,已解決,2025-09-20
2025-09,2025-09-10,ISS-2025-083,工時休假,秋季旺季提前結束年假額度，工人不滿,廠方承諾提前協商旺季排班，尊重工人年假計劃,已解決,2025-09-22
2025-09,2025-09-10,ISS-2025-084,工作環境,倉庫區域照明不足，搬運工人工傷風險高,已更換倉庫照明設備，亮度符合作業安全標準,已解決,2025-09-18
2025-09,2025-09-10,ISS-2025-085,福利待遇,員工培訓後無晉升機會，培訓意願低,廠方建立內部晉升與培訓掛鉤機制,未解決,
2025-09,2025-09-10,ISS-2025-086,管理溝通,工人代表大會召開頻率不足，工人訴求積壓,廠方承諾每季度召開一次工人代表大會,已解決,2025-09-28
2025-09,2025-09-10,ISS-2025-087,安全衛生,部分崗位缺乏防護手套，工人手部受傷頻繁,已完成崗位防護需求評估並統一配發防護手套,已解決,2025-09-15
2025-09,2025-09-10,ISS-2025-088,工資薪酬,工齡工資多年未調整，老員工積極性受影響,廠方同意自10月起調整工齡工資標準，每年增加,已解決,2025-09-30
2025-09,2025-09-10,ISS-2025-089,勞動合同,派遣工轉正條件不透明，工人不知達標標準,廠方制定並公示派遣工轉正評估標準及時間表,未解決,
2025-09,2025-09-10,ISS-2025-090,其他,廠內醫務室藥品短缺，常見藥物無法取得,廠方補充醫務室藥品儲備，並更新藥品採購計劃,已解決,2025-09-24
2025-10,2025-10-08,ISS-2025-091,工資薪酬,國慶節加班費計算有誤，比法定標準少20%,財務部重新計算並補發，同步更新薪資計算規則,已解決,2025-10-18
2025-10,2025-10-08,ISS-2025-092,安全衛生,秋季乾燥，防靜電措施不足，多次產生打火現象,廠方增設加濕設備，更新防靜電操作規程,已解決,2025-10-20
2025-10,2025-10-08,ISS-2025-093,工時休假,工人反映補休兌換規則不透明，補休難以使用,廠方發布補休管理辦法，明確兌換流程及有效期,已解決,2025-10-22
2025-10,2025-10-08,ISS-2025-094,工作環境,秋冬交替車間溫差大，工人反映缺乏過渡期防寒措施,廠方提前部署車間供暖方案，10月底前完成安裝,未解決,
2025-10,2025-10-08,ISS-2025-095,福利待遇,工人子女就學申請廠方協助函遲遲未發出,HR承諾3個工作日內出具相關證明文件,已解決,2025-10-12
2025-10,2025-10-08,ISS-2025-096,管理溝通,廠方對工人投訴缺乏書面回覆機制,廠方建立投訴書面回覆制度，承諾10個工作日內回覆,已解決,2025-10-25
2025-10,2025-10-08,ISS-2025-097,安全衛生,叉車作業區域與行人通道重疊，存在碰撞風險,已完成作業區域重新劃分，設置物理隔離設施,已解決,2025-10-15
2025-10,2025-10-08,ISS-2025-098,工資薪酬,夜班工人的交通補貼長期未發放,廠方確認補貼政策，補發過去3個月欠發部分,已解決,2025-10-28
2025-10,2025-10-08,ISS-2025-099,勞動合同,到期合同未及時續簽，工人身份不明確,HR設立合同到期預警機制，確保提前30天啟動續簽,未解決,
2025-10,2025-10-08,ISS-2025-100,其他,廠內文體設施長期缺乏維護，工人娛樂需求無法滿足,廠方撥款維修健身器材及活動室，預計11月完成,未解決,
2025-11,2025-11-12,ISS-2025-101,工資薪酬,年終獎計算基準不透明，工人無法估算應得金額,廠方提前公示年終獎計算方式及考核指標,已解決,2025-11-22
2025-11,2025-11-12,ISS-2025-102,安全衛生,冬季車間供暖不足，工人手腳冰冷影響操作精準度,已完成供暖系統檢修，確保車間溫度達到作業標準,已解決,2025-11-18
2025-11,2025-11-12,ISS-2025-103,工時休假,工人請假被要求提前7天申請，緊急情況無法應對,廠方修訂請假制度，緊急情況可事後補交申請,已解決,2025-11-20
2025-11,2025-11-12,ISS-2025-104,工作環境,冬季地面濕滑，工人跌倒受傷事件增加,已在濕滑區域鋪設防滑墊並張貼警示標識,已解決,2025-11-16
2025-11,2025-11-12,ISS-2025-105,福利待遇,年底績效面談流於形式，工人感受不到公平評估,廠方承諾規範面談流程，增加工人自評環節,未解決,
2025-11,2025-11-12,ISS-2025-106,管理溝通,管理層對工會建議的回應時間過長，超過30天,廠方設立建議回應追蹤系統，承諾15天內回覆,已解決,2025-11-28
2025-11,2025-11-12,ISS-2025-107,安全衛生,工人反映職業健康體檢結果未及時反饋,廠方承諾體檢後2週內向個人反饋報告並提供諮詢,已解決,2025-11-25
2025-11,2025-11-12,ISS-2025-108,工資薪酬,部分工人反映五險一金繳費記錄存在錯誤,廠方與社保局聯繫核查，已更正受影響工人的記錄,已解決,2025-11-30
2025-11,2025-11-12,ISS-2025-109,勞動合同,工人對合同爭議仲裁流程不了解，難以維權,廠方邀請勞動仲裁機構為工人開展法律知識講座,未解決,
2025-11,2025-11-12,ISS-2025-110,其他,外地工人探親假交通補貼標準偏低,廠方評估後上調交通補貼標準，並追溯本年度，已解決,已解決,2025-11-29
2025-12,2025-12-10,ISS-2025-111,工資薪酬,年終結算工資少計了2天假期工資,財務已核查並確認誤差，補發款項於12月20日到賬,已解決,2025-12-20
2025-12,2025-12-10,ISS-2025-112,安全衛生,年底趕工期間安全規程執行鬆散，隱患增加,管理層發出安全生產特別提示，加強現場巡查頻次,已解決,2025-12-15
2025-12,2025-12-10,ISS-2025-113,工時休假,年底強制取消年假，補償方案不合理,廠方與工人代表協商，提供額外補償或順延至明年使用,未解決,
2025-12,2025-12-10,ISS-2025-114,工作環境,年底倉庫積壓，工人通道受阻，安全風險高,倉管部門已清理通道，制定臨時物料存放方案,已解決,2025-12-13
2025-12,2025-12-10,ISS-2025-115,福利待遇,年終聚餐未邀請一線工人參加，引發不滿,廠方決定調整年終活動形式，確保全員參與機會,未解決,
2025-12,2025-12-10,ISS-2025-116,管理溝通,年度工人代表選舉流程不規範，缺乏透明度,廠方承諾明年按民主程序重新組織選舉,未解決,
2025-12,2025-12-10,ISS-2025-117,安全衛生,消防演練頻次不足，工人疏散能力薄弱,廠方宣布明年起每季度進行一次消防演練,已解決,2025-12-28
2025-12,2025-12-10,ISS-2025-118,工資薪酬,年終獎金額低於往年，廠方解釋不充分,廠方提供年度財務摘要說明，與工人代表溝通年終獎方案,已解決,2025-12-25
2025-12,2025-12-10,ISS-2025-119,勞動合同,勞動合同到期未簽工人達12人，存在違規風險,廠方啟動緊急補簽程序，確保年底前完成合同簽訂,未解決,
2025-12,2025-12-10,ISS-2025-120,其他,廠區垃圾分類設施不完善，缺乏指引牌,廠方採購垃圾分類桶並張貼分類指引，已完成部署,已解決,2025-12-22
